continent,region,country,inflow1990,inflow1995,inflow2000,inflow2005,inflow2010,inflow2015
Africa,Southern Africa,Botswana,27510,40168,57064,88829,120912,160644
Africa,Southern Africa,Lesotho,8240,7204,6167,6290,6414,6572
Africa,Southern Africa,Namibia,120641,115372,134403,106274,102405,93888
Africa,Southern Africa,South Africa,1163883,1003807,1001825,1210936,1943099,3142511
Africa,Southern Africa,Swaziland,72085,25031,22855,27097,30476,31579
Africa,Western Africa,Benin,76212,104971,133730,171499,209267,245399
Africa,Western Africa,Burkina Faso,349657,434848,520039,596972,673904,704676
Africa,Western Africa,Cabo Verde,8931,9979,11027,12700,14373,14924
Africa,Western Africa,Côte d'Ivoire,1816426,2076394,1994135,2010824,2095185,2175399
Africa,Western Africa,Gambia,118123,150890,182514,181905,185763,192540
Africa,Western Africa,Ghana,164851,252879,191601,304436,337017,399471
Africa,Western Africa,Guinea,403621,774505,560075,229611,205111,228413
Africa,Western Africa,Guinea-Bissau,15368,27961,20450,20736,21061,22333
Africa,Western Africa,Liberia,94964,208563,151868,87188,99129,113779
Africa,Western Africa,Mali,160736,176187,189475,256797,336607,363145
Africa,Western Africa,Mauritania,111650,89562,57366,58119,84679,138162
Africa,Western Africa,Niger,115464,145999,122260,124461,126464,189255
Africa,Western Africa,Nigeria,456621,462999,487882,648019,920118,1199115
Africa,Western Africa,Saint Helena,383,394,405,487,569,604
Africa,Western Africa,Senegal,270410,287654,231901,238298,256092,263242
Africa,Western Africa,Sierra Leone,222242,105374,98241,149615,97452,91213
Africa,Western Africa,Togo,84844,101583,137891,203379,255262,276844
Asia,Central Asia,Kazakhstan,3619200,3245250,2871300,3102962,3334623,3546778
Asia,Central Asia,Kyrgyzstan,623083,510296,389558,312897,231511,204382
Asia,Central Asia,Tajikistan,428900,348347,299266,280444,278152,275059
Asia,Central Asia,Turkmenistan,306500,273565,218498,213051,197979,196386
Asia,Central Asia,Uzbekistan,1653000,1512577,1405250,1329345,1220149,1170899
Asia,Eastern Asia,China,376361,442198,508034,678947,849861,978046
Asia,Eastern Asia,Hong Kong Special Administrative Region,2218473,2443798,2669122,2721235,2779950
Asia,Eastern Asia,China Macao Special Administrative Region,205047,224929,240791,279308,318506
Asia,Eastern Asia,Democratic People's Republic of Korea,34103,35143,36183,40097,44010,48458
Asia,Eastern Asia,Japan,1075626,1381097,1686567,2012916,2134151,2043877
Asia,Eastern Asia,Mongolia,6718,7424,8206,11475,16061,17620
Asia,Eastern Asia,Republic of Korea,43017,123886,244178,485546,919275,1327324
Asia,South-Eastern Asia,Brunei Darussalam,73200,84748,96296,98441,100587,102733
Asia,South-Eastern Asia,Cambodia,38375,92230,146085,114031,81977,73963
Asia,South-Eastern Asia,Indonesia,465612,378960,292307,289568,305416,328846
Asia,South-Eastern Asia,Lao People's Democratic Republic,22866,23526,21948,20371,21185,22244
Asia,South-Eastern Asia,Malaysia,695920,937368,1277223,1722344,2406011,2514243
Asia,South-Eastern Asia,Myanmar,133545,113663,98011,83025,76414,73308
Asia,South-Eastern Asia,Philippines,154071,207345,318095,257468,208599,211862
Asia,South-Eastern Asia,Singapore,727262,991492,1351691,1710594,2164794,2543638
Asia,South-Eastern Asia,Thailand,528693,809720,1257821,2163447,3224131,3913258
Asia,South-Eastern Asia,Timor-Leste,8954,9743,10602,11286,10983,10834
Asia,South-Eastern Asia,Vietnam,28118,51262,56754,51768,61756,72793
Asia,Southern Asia,Afghanistan,57686,71522,75917,87300,102246,382365
Asia,Southern Asia,Bangladesh,881617,934735,987853,1166700,1345546,1422805
Asia,Southern Asia,Bhutan,23807,27972,32137,40279,48420,51106
Asia,Southern Asia,India,7493204,6952238,6411272,5923642,5436012,5240960
Asia,Southern Asia,Iran,4291601,2937668,2803805,2568930,2761561,2726420
Asia,Southern Asia,Maldives,8689,18510,27092,45045,73604,94086
Asia,Southern Asia,Nepal,429974,690225,717900,679457,578657,518278
Asia,Southern Asia,Pakistan,6208204,3669308,4181912,3171132,3941586,3628956
Asia,Southern Asia,Sri Lanka,41561,40841,40132,39526,38959,38706
Asia,Western Asia,Armenia,658789,693999,657900,469119,221560,191199
Asia,Western Asia,Azerbaijan,360600,344070,327540,302220,276901,264241
Asia,Western Asia,Bahrain,173212,205979,239361,404018,657856,704137
Asia,Western Asia,Cyprus,43805,61941,80076,117165,187923,196167
Asia,Western Asia,Georgia,338300,278450,218600,199805,182202,168802
Asia,Western Asia,Iraq,83638,199460,210525,132915,117389,353881
Asia,Western Asia,Israel,1632704,1792185,1851309,1889503,1950615,2011727
Asia,Western Asia,Jordan,1146349,1537097,1927845,2325414,2722983,3112026
Asia,Western Asia,Kuwait,1074391,921954,1127640,1333327,1871537,2866136
Asia,Western Asia,Lebanon,523693,608303,692913,756784,820655,1997776
Asia,Western Asia,Oman,304000,539643,623608,666160,816221,1844978
Asia,Western Asia,Qatar,309753,361673,359697,646026,1456413,1687640
Asia,Western Asia,Saudi Arabia,4998445,5122702,5263387,6501819,8429956,10185945
Asia,Western Asia,State of Palestine,288332,281767,275202,266617,258032,255507
Asia,Western Asia,Syria,714140,830610,832273,876410,1661922,875189
Asia,Western Asia,Turkey,1163686,1216173,1280963,1319236,1367034,2964916
Asia,Western Asia,United Arab Emirates,1306574,1824118,2446675,3281036,7316611,8095126
Asia,Western Asia,Yemen,118863,136515,143495,171073,285837,344131
Europe,Eastern Europe,Belarus,1248977,1186282,1123586,1106982,1090378,1082905
Europe,Eastern Europe,Bulgaria,21510,32435,43360,61074,76287,102113
Europe,Eastern Europe,Czech Republic,110394,165592,220789,322540,397785,405093
Europe,Eastern Europe,Hungary,347510,322234,296957,366787,436616,449632
Europe,Eastern Europe,Poland,1127771,964725,825251,722509,642417,619403
Europe,Eastern Europe,Moldova,544162,367231,247828,173957,157668,142904
Europe,Eastern Europe,Romania,135825,135037,126949,145162,155982,226943
Europe,Eastern Europe,Russia,11524948,11928927,11900297,11667588,11194710,11643276
Europe,Eastern Europe,Slovakia,41295,69323,116376,130491,146319,177190
Europe,Eastern Europe,Ukraine,6892920,6172338,5527087,5050302,4818767,4834898
Europe,Northern Europe,Channel Islands,61660,60519,64301,70941,77581,82307
Europe,Northern Europe,Denmark,235189,303108,371026,440383,509740,572520
Europe,Northern Europe,Estonia,381997,315755,249512,233701,217890,202348
Europe,Northern Europe,Faeroe Islands,4285,2900,3593,4583,5096,5517
Europe,Northern Europe,Finland,63255,99729,136203,192169,248135,315881
Europe,Northern Europe,Iceland,9584,12738,15892,25492,35091,37522
Europe,Northern Europe,Ireland,227961,226892,350552,589046,730542,746260
Europe,Northern Europe,Isle of Man,34769,36886,39002,41475,43447,45221
Europe,Northern Europe,Latvia,646007,538093,430178,376725,313786,263126
Europe,Northern Europe,Lithuania,349258,273587,214311,201209,160772,136036
Europe,Northern Europe,Norway,192587,233302,292440,361144,526799,741813
Europe,Northern Europe,Sweden,788767,936022,1003798,1125790,1384929,1639771
Europe,Northern Europe,United Kingdom,3650286,4155293,4730165,5926156,7604583,8543120
