country,outflow1990,outflow1995,outflow2000,outflow2005,outflow2010,outflow2015
Palau,2963.0,3371.0,4009.0,3427.0,2608.0,2552.0
Puerto Rico,1200852.0,1361031.0,1562399.0,1595881.0,1648984.0,1768382.0
Suriname,179656.0,193383.0,213166.0,251868.0,259811.0,267797.0
Bhutan,28366.0,117868.0,120065.0,117860.0,86206.0,44190.0
Dominican Republic,465024.0,657352.0,880287.0,1002913.0,1147304.0,1304490.0
Haiti,527304.0,652702.0,792806.0,957723.0,1092025.0,1195235.0
Honduras,156550.0,240277.0,335075.0,438265.0,564115.0,648525.0
Guadeloupe,5828.0,6880.0,7940.0,9108.0,10195.0,10610.0
Anguilla,2047.0,2567.0,3094.0,3058.0,2293.0,2406.0
Greenland,9524.0,11406.0,13338.0,14796.0,16253.0,17552.0
Kiribati,4053.0,4257.0,4047.0,4062.0,4279.0,4717.0
Liechtenstein,3464.0,3067.0,2711.0,2953.0,3429.0,3870.0
Montenegro,78678.0,145926.0,181128.0,150072.0,131507.0,138356.0
Samoa,74861.0,81492.0,94163.0,98788.0,104004.0,113139.0
San Marino,1425.0,2467.0,3503.0,2912.0,2264.0,2303.0
Turks and Caicos Islands,2311.0,1536.0,759.0,1236.0,1732.0,1878.0
Tuvalu,2360.0,2748.0,2601.0,2932.0,3276.0,3472.0
Andorra,3802.0,4205.0,5628.0,5769.0,7120.0,7571.0
Belize,36114.0,40811.0,47141.0,50588.0,55112.0,59884.0
Tonga,32666.0,37878.0,46296.0,48078.0,50995.0,56524.0
Vanuatu,5074.0,5814.0,6459.0,7454.0,7939.0,8583.0
Grenada,43250.0,53309.0,63123.0,63879.0,61704.0,65812.0
American Samoa,2152.0,2749.0,3300.0,2733.0,1975.0,2035.0
Cook Islands,17498.0,17022.0,19511.0,19578.0,20567.0,21505.0
Dominica,42366.0,44575.0,47961.0,63378.0,71438.0,69817.0
Faeroe Islands,7524.0,10013.0,12408.0,12530.0,12971.0,14284.0
French Guiana,2848.0,3227.0,3638.0,3871.0,4075.0,4372.0
French Polynesia,3149.0,3748.0,4335.0,2751.0,1211.0,1337.0
Marshall Islands,1433.0,4058.0,6844.0,6475.0,6168.0,6901.0
Martinique,11041.0,12602.0,14197.0,14610.0,14871.0,13618.0
Saint Lucia,22006.0,30365.0,39273.0,46510.0,50686.0,55414.0
Saint Vincent and the Grenadines,37043.0,45195.0,53175.0,55213.0,55405.0,60424.0
Solomon Islands,2246.0,2576.0,2761.0,3063.0,3351.0,3833.0
Holy See,32.0,39.0,44.0,113.0,181.0,182.0
Cayman Islands,373.0,803.0,1259.0,1268.0,1382.0,1569.0
Falkland Islands (Malvinas),284.0,791.0,1304.0,1113.0,1025.0,1124.0
New Caledonia,4151.0,4606.0,4937.0,5323.0,5783.0,6330.0
Channel Islands,18727.0,15628.0,12826.0,14847.0,18133.0,20335.0
Isle of Man,10735.0,9003.0,7367.0,8511.0,10295.0,10957.0
Montserrat,7188.0,11475.0,16045.0,15703.0,16034.0,17744.0
Saint Pierre and Miquelon,485.0,479.0,486.0,428.0,390.0,435.0
Tokelau,1684.0,1810.0,2081.0,2070.0,2158.0,2255.0
Wallis and Futuna Islands,6489.0,6959.0,7427.0,7449.0,7461.0,7843.0
Micronesia (Federated States of),7719.0,11994.0,16759.0,18153.0,19039.0,19798.0
Bosnia and Herz.,4325.0,4888.0,5567.0,6367.0,8576.0,8920.0
Curacao,41878.0,48701.0,57182.0,67407.0,68289.0,69893.0
Saint Marten (Dutch part),14368.0,16757.0,19733.0,23107.0,23346.0,23811.0
